subj	rel	obj
planet orbit star	structural-patient	star
humidity	at location	atmosphere
young	has property	live
toothbrush	has property	electric
low tide	structural-noun-compound	low
pole tilt from sun	result	winter
bhutan	at location	northern hemisphere
sedimentary rock	has subcomponent	small particle
radiation affect	patient	distant object
costa rica	structural-noun-compound	costa
deer mouse	structural-noun-compound	deer
channel	has subcomponent	moving water
object	has subcomponent	characteristic
observe star	structural-verb	observe
earth	has subcomponent	earth surface
breathe	patient	water
safety goggles	structural-noun	safety
wooded area	structural-noun-compound	area
compete	agent	predator
animal scale	has property	small
physical cycle	structural-noun-compound	cycle
sea animal	structural-noun-compound	sea
animal excrete seed	structural-patient	seed
increase water	structural-verb	increase
worm	has subcomponent	tube-like body
signal	has property	electrical
electrical circuit	structural-noun-compound	electrical
organism die	structural-verb	die
climb	result	high
many material	structural-noun	material
retain water	structural-patient	water
area	has property	coastal
recycling	has positive impact on	conservation
increase	agent	size
record observation	structural-patient	observation
earth's tilt	result	season change
complete electrical circuit	structural-noun	electrical circuit
tibet autonomous region	structural-noun-compound	autonomous
use tool	structural-patient	tool
harm	patient	entity
flow	at location	pipe
sediment cover organism remains	structural-agent	sediment
cloudy day	structural-noun	day
sand	has subcomponent	rough surface
earth	has subcomponent	mass
pollinate	at location	flower
bean plant	structural-noun-compound	plant
absorb nutrient	instrument	root
choice	has property	good
oxygenated	derivational morphology	oxygen
sri lanka	at location	northern hemisphere
study soil sample	structural-patient	soil sample
state of matter	structural-noun-compound	of
carbonic acid dissolve limestone	structural-patient	limestone
help entity	structural-verb	help
visibility	has property	low
carry food	instrument	esophagus
heat transfer	result	cold
wash away	agent	soil
environment	causes	acquired characteristic
very cold	structural-adjective	cold
orbit	patient	sun
montserrat (uk)	at location	northern hemisphere
matter state	structural-noun-compound	matter
temperature	has property	lower
lesotho	at location	southern hemisphere
wide river	structural-adjective	wide
pinhole camera	structural-noun-compound	pinhole
detect texture	structural-patient	texture
appear	patient	large
event occur	structural-agent	event
cause formation	structural-verb	cause
do	patient	chore
digestive system	structural-noun-compound	system
generate electricity	structural-verb	generate
large canopy	structural-noun	canopy
tadpole breathe	structural-verb	breathe
grand canyon	structural-noun-compound	grand
recycle	patient	nonrenewable resources
produce	agent	skunk
lose hair	structural-patient	hair
thermal conduction	has subcomponent	cool object
natural gas	structural-adjective	natural
carmarthenshire	structural-noun-compound	carmarthenshire
increase temperature	result	big
sweden	at location	northern hemisphere
ear	has property	long
light bulb produce light	structural-verb	produce
observe	instrument	satellite
flashlight	causes	light
blue object	structural-noun	object
plant survive	structural-agent	plant
remove forest	causes	remove animal habitat
hold	instrument	handle
white blood cell	structural-noun-compound	white
different object	structural-noun	object
same food source	structural-adjective	same
protect cell	structural-verb	protect
galileo galilei	structural-noun-compound	galileo
observe moon	structural-verb	observe
surface	has property	lunar
earthquake	causes	building collapse
vehicle operate	structural-verb	operate
utah	at location	united states of america
block light	structural-verb	block
maintain number	structural-patient	number
georgia (country)	structural-noun-compound	georgia
arctic animal	structural-adjective	arctic
sediment cement	structural-verb	cement
save gasoline	structural-patient	gasoline
new brunswick	structural-noun-compound	new
transport	agent	plant
northern winter solstice	structural-adjective	northern
paper	has property	nonmagnetic
fur	has property	thick
use resource	structural-verb	use
transport liquid	instrument	tube
attach	patient	shark
magnet	has property	magnetic
destroy forest	structural-verb	destroy
kill fish	result	food
dorset	structural-noun-compound	dorset
southern summer	has subcomponent	december
swamp	has subcomponent	soil
nature	has subcomponent	atmosphere
ivy plant	structural-noun-compound	plant
lake	has property	deep
heat	causes	expand
predate	agent	bird
cloud	has subcomponent	water vapor
assemble	patient	something
light travel	structural-verb	travel
burn gasoline	structural-patient	gasoline
light bulb filaments	derivational morphology	light bulb filament
animal habitat	structural-noun-compound	animal
lose skin	structural-patient	skin
study	patient	microorganism
territory of new caledonia and dependencies (france)	structural-noun-compound	new
substance	has property	not dense
attract	patient	fly
cure	patient	sick
weed use	structural-agent	weed
refrigerator	has subcomponent	harmful chemical
touch	agent	object
ferrous metals	structural-noun	metals
ecosystem	has subcomponent	nonliving thing
weather	has property	bad
electricity flow	instrument	electrical conductor
population	has subcomponent	organism
poison	derivational morphology	poison
arctic	has property	white
six leg	structural-noun	leg
baby	has property	young
communicate	instrument	computer
body	has property	warm
guess	has property	scientific
magnify	instrument	electron microscope
survive	instrument	conserve water
gills	derivational morphology	gills
break down food	structural-verb	break down
many oxygen	structural-quantifier	many
vibration	derivational morphology	vibrate
skid	causes	friction
chicken	has property	chicken weight
pure substance	has subcomponent	melting point
condense	similar to	collect
discard	patient	waste
animal survive	instrument	eat food
chemical energy	structural-adjective	chemical
greater height	structural-noun	height
melt	agent	snow
point	has property	freezing
protect	patient	plant
lift	patient	heavy object
cows	derivational morphology	cow
curly hair	structural-adjective	curly
burma	at location	northern hemisphere
animal	has property	thin
poison	patient	organism
south korea	structural-noun-compound	south
liquid matter	structural-adjective	liquid
use switch	structural-verb	use
celestial object	structural-noun	object
rise	agent	sun
ninth planet	structural-noun	planet
attract pollinator	structural-patient	pollinator
object	has property	weight
rock pile	structural-noun-compound	rock
arctic environment	structural-noun	environment
lose fur	structural-patient	fur
sonora	structural-noun-compound	sonora
guinea	at location	southern hemisphere
ice cream	structural-noun-compound	ice
pop	patient	popcorn
melting point	structural-noun-compound	point
many oxygen	structural-noun	oxygen
puebla	at location	mexico
oaxaca	at location	mexico
car engine	structural-noun-compound	engine
vibrate	agent	air
constellation	has subcomponent	star
heat gas	result	rise
tide cycle	has subcomponent	low tide
create picture	structural-patient	picture
animal move	structural-verb	move
district of columbia	structural-noun-compound	district
glow	agent	filament
swaziland	at location	southern hemisphere
weed use	structural-verb	use
cellular respiration	structural-noun-compound	cellular
east timor	structural-noun-compound	timor
clear	patient	orbit
altitude	has property	great
absorb sound	instrument	carpet
generate heat	structural-verb	generate
move	patient	air
liquid	patient	freeze
norfolk island (australia)	structural-noun-compound	norfolk
operate toy	result	toy move
trinidad and tobago	at location	northern hemisphere
climb	agent	vine
scavenger eat dead organism	structural-patient	dead organism
rise	agent	old rock
carry oxygen	goal	cell
cook	patient	food
saint barthélemy (france)	structural-noun-compound	france
burkina faso	at location	southern hemisphere
contents color	structural-noun-compound	content
avoid	patient	waste
quarter	has property	first
affect	agent	magnetism
occurrence	has property	natural
soil erode	structural-verb	erode
form	patient	solid
magnify	instrument	magnifying glass
nail	has property	magnetic
asteroid impact	result	crater
cool down	agent	source
become cold	structural-verb	become
use resource	has negative impact on	availability
simple carbohydrate	structural-adjective	simple
density	has property	intensive
force	has property	destructive
time	has property	different
carbonic acid dissolve limestone	structural-verb	dissolve
catch	derivational morphology	catching
escape predator	instrument	move
change	agent	temperature
electric toothbrush	structural-adjective	electric
horse weight	structural-noun-compound	horse
change ecosystem	structural-verb	change
raccoon eat trash	has negative impact on	trash
strum	patient	guitar
reduce food	result	thin
taste sweet	structural-verb	taste
protect hand	instrument	thermal glove
water animal	has subcomponent	seashell
shelter	beneficiary	organism
material	has subcomponent	particle
depth	has property	greatest
fossil fuel	has property	nonrenewable
many year	structural-noun	year
electric current flow	structural-agent	electric current
muscle cells	structural-noun	muscle
little food	structural-noun	food
little liquid	structural-noun	liquid
photosynthesize	result	food
full moon	structural-noun	moon
fire	causes	smoke
battery convert	structural-agent	battery
burn coal	structural-verb	burn
animal eat seed	structural-patient	seed
increase important object	structural-patient	important object
north dakota	structural-noun-compound	north
break down	patient	whole
baking	derivational morphology	bake
flexible container expand	structural-verb	expand
tinted lens reflect	structural-verb	reflect
distance	has property	short
yunnan	at location	people's republic of china
runoff	has subcomponent	chemical
lab equipment	structural-noun-compound	lab
poison environment	instrument	poison organism
physical feature	structural-noun	feature
impact	has property	negative
camouflage	instrument	leaf
turtles	derivational morphology	turtle
recessive gene	structural-noun	gene
body system	structural-noun	system
foot	has property	webbed
move around	structural-verb	move
animal	has subcomponent	fur
weather	patient	whole
day	has subcomponent	earth rotate
liquid water	structural-noun	water
need	patient	know
deep river	structural-noun	river
phase change	agent	substance
visible light	structural-adjective	visible
string	has subcomponent	length
glamorgan	at location	wales
montserrat (uk)	structural-noun-compound	uk
change	patient	matter state
grass snake	structural-noun-compound	grass
absorb sunlight	structural-patient	sunlight
slow environmental change	structural-adjective	slow
many crater	structural-noun	crater
material	has property	nonmagnetic
capture animal	structural-verb	capture
breathe	instrument	oxygen
shiny surface	structural-noun	surface
electrical current	structural-noun-compound	electrical
matter	has subcomponent	atom
vanuatu	at location	southern hemisphere
saint barthélemy (france)	structural-noun-compound	barthélemy
nerve cells	structural-noun	nerve
insulator	has property	electrical
sunny day	has subcomponent	many sunlight
earth's axis	structural-noun-compound	earth's
floating arrow point	structural-agent	floating arrow
very small	structural-quantifier	very
internal organ	structural-noun-compound	internal
health	has property	poor
day	has property	cloudy
trout	has subcomponent	gill
prey population	structural-noun-compound	population
measure earthquake strength	structural-verb	measure
eliminate waste	structural-patient	waste
sun set	structural-agent	sun
few organism	structural-quantifier	few
protect	instrument	cover
cow eat plant	has negative impact on	plant
lift heavy object	instrument	lever
hong kong special administrative region	structural-noun-compound	hong
cloud	has property	grey
recycle	result	resource
scales	derivational morphology	scale
measure	patient	hardness
ocean heat	causes	hurricane
least length	structural-noun	length
sunset	structural-noun-compound	set
oil mixed with water	structural-noun-compound	oil
pollinate	agent	animal
gravity	causes	landslide
push bike pedal	structural-patient	bike pedal
eat insect	structural-patient	insect
salt water	structural-noun-compound	water
flip switch	structural-verb	flip
cause	has property	natural
decomposing algae	structural-noun	algae
drink	instrument	cup
sharp object	structural-adjective	sharp
lose hair	structural-verb	lose
location	has property	distant
constructive force	structural-noun	force
transmittance	at location	surface
strum string	structural-verb	strum
geologic structure	structural-adjective	geologic
increase visibility	instrument	windshield wiper
rainy weather	structural-noun	weather
light brown	structural-adjective	light
play	patient	musical instrument
ice cream	structural-noun-compound	cream
kill plant	structural-verb	kill
lunar cycle	structural-noun-compound	lunar
sand	has subcomponent	small particle
yeast cell	structural-noun-compound	yeast
earth	has subcomponent	mantle
uganda	at location	equator
heard island and mcdonald islands (australia)	at location	southern hemisphere
know	patient	property
vibrate	agent	molecule
attract mate	structural-verb	attract
morocco	at location	southern hemisphere
remora fish eat	patient	food
insect eat crop	structural-agent	insect
night sky star	structural-noun-compound	star
play musical instrument	structural-verb	play
form solid	structural-patient	solid
process	has subcomponent	part
guerrero	structural-noun-compound	guerrero
hurricane	has property	strong
push	patient	water
cotton waste	structural-noun-compound	waste
offshore oil platform	structural-noun	oil platform
visual thing	structural-noun-compound	thing
surrey	structural-noun-compound	surrey
fire destroy	patient	plant
less object	structural-noun	object
many year	has subcomponent	weathering
hold animal	structural-patient	animal
midlothian	structural-noun-compound	midlothian
absorb carbon dioxide	structural-verb	absorb
potential energy	structural-adjective	potential
internal organs	structural-noun	organs
farm plant	structural-patient	plant
cambodia	at location	northern hemisphere
grow	has positive impact on	size
warmth	derivational morphology	warm
bear eat berry	has positive impact on	bear
transport mineral	instrument	artery
decrease visibility	result	crash car
magnet	has subcomponent	north pole
push object	instrument	force
destroy living thing	structural-verb	destroy
bird	has property	baby
affect organism	structural-patient	organism
beijing	at location	people's republic of china
can float	structural-verb	can
soil	has property	renewable
measure earthquake strength	structural-patient	earthquake strength
many something	structural-quantifier	many
baby cat	structural-adjective	baby
haddingtonshire	at location	scotland
rock	has property	large
dominant gene	structural-noun	gene
mining	derivational morphology	mine
weathering	causes	sedimentary rock
organism grow	instrument	energy
set	agent	sun
sichuan	structural-noun-compound	sichuan
lab equipment	structural-noun-compound	equipment
insulator	has property	insulated
pull down	instrument	gravity
plant become oil	instrument	bury plant
kansas	structural-noun-compound	kansas
above number	structural-noun	number
recycle resource	structural-verb	recycle
protect	patient	young bird
adjust temperature	structural-patient	temperature
transport	patient	water
act	patient	object
equatorial regional guinea	structural-noun-compound	guinea
rocky terrain	structural-adjective	rocky
move	result	change position
plant transport nutrient	instrument	stem
pesticide	has negative impact on	insect
multicellular organism	structural-noun	organism
ocean shell	structural-noun-compound	shell
monkey give birth	structural-agent	monkey
defend	instrument	poison dart
piano key	structural-noun-compound	key
bedfordshire	structural-noun-compound	bedfordshire
bacteria	causes	illness
object	has property	length
leaf	has property	small
low quality soil	structural-adjective	quality
make product	instrument	material
water vapor	structural-noun-compound	water
affect	agent	non-contact forces
measure length	structural-patient	length
bodily process	structural-adjective	bodily
form group	structural-verb	form
daylight hour	has subcomponent	daylight
infertile soil	has subcomponent	low quality
nunavut	structural-noun-compound	nunavut
continental shelf	has property	shallow
human eat crop	has positive impact on	human
flower become	structural-verb	become
hide	agent	octopus
use resource	agent	organism
put	patient	group
condense	derivational morphology	condensing
michoacán	at location	mexico
function	agent	simple machine
gaseous matter	structural-adjective	gaseous
pewter	has property	nonmagnetic
control animal	structural-patient	animal
bone cells	structural-noun	cells
united states	structural-noun-compound	state
flower petal	structural-noun-compound	petal
enhanced sense	structural-adjective	enhanced
observe	patient	moon
compare density	structural-patient	density
water lily	structural-noun-compound	lily
decompose	agent	microorganism
perform experiment	instrument	read instruction
pollinator	has positive impact on	reproduce
oven	causes	heat
greenland (denmark)	at location	northern hemisphere
temperature	has property	intensive
complete rotation	structural-verb	complete
stay	result	cool
combine	patient	solids
electromagnet	has subcomponent	wire
shape	has property	narrow
many energy	structural-noun	energy
protect hand	structural-patient	hand
magnetic force	structural-noun-compound	force
saba (netherlands)	structural-noun-compound	saba
rock crack	structural-noun-compound	rock
body store	structural-agent	body
share information	structural-verb	share
come together	structural-verb	come
study	patient	history
british indian ocean territory (united kingdom)	structural-noun-compound	kingdom
move	patient	human
shed fur	structural-verb	shed
adult female insect	structural-adjective	female
fox eat	patient	rabbit
pollinate	agent	bee
nairnshire	at location	scotland
polluting gas	structural-noun	gas
moon phase	structural-noun-compound	phase
create	patient	paper
low vibration	structural-adjective	low
find	patient	food
rain storm	structural-noun-compound	rain
water	has property	quality
object cool	structural-verb	cool
technology	similar to	tool
learn information	result	know information
material	has property	magnetism
carbohydrate	has subcomponent	sugars
carry oxygen	instrument	blood
deep valley	structural-noun	valley
contact object	result	sound
high speed	structural-noun-compound	speed
food	has positive impact on	hatch
high tide	structural-noun-compound	high
see	patient	light
smooth skin	structural-adjective	smooth
high quality soil	structural-noun	soil
dig	agent	chimpanzee
hide	beneficiary	animal
burn gasoline	instrument	gasoline engine
lift flag	structural-verb	lift
pembrokeshire	at location	wales
shrink	result	decrease size
convert	agent	bee
high vibration	structural-noun	vibration
grow	instrument	tissue
store	patient	urine
see	patient	prey
coral sea islands (australia)	structural-noun-compound	coral
sleet	has subcomponent	ice
plant cells	structural-noun	cells
produce electricity	instrument	oil
produce	agent	tree
large size	structural-noun	size
celestial body move	structural-agent	celestial body
redwood tree	structural-noun-compound	tree
cell	has subcomponent	cell membrane
little sunlight	structural-quantifier	little
change direction	structural-patient	direction
know property	structural-verb	know
thermal insulator	has negative impact on	heat
measure wind speed	structural-patient	wind speed
provide sunlight	structural-patient	sunlight
cut down tree	agent	human
kangaroo drink milk	at location	kangaroo pouch
meadow vole eat insect	structural-agent	meadow vole
colorado	structural-noun-compound	colorado
bury seed	structural-patient	seed
learn	instrument	study fossil
improve telescope	result	better observation
bone	has property	hollow
carnivore eat animal	structural-patient	animal
decompose	agent	bacterium
french guiana (france)	structural-noun-compound	france
activity	has property	physical
living thing grow	structural-agent	living thing
move product	structural-patient	product
object	has property	heat energy
circuit	has subcomponent	electricity
light	has property	close
borax	has property	magnetic
object	has property	black
bark	has property	brown
perform task	structural-patient	task
burn living thing	structural-patient	living thing
complex machine	structural-adjective	complex
living thing survive	instrument	energy
object	has property	warm
build tool	structural-verb	build
very small	structural-adjective	small
hurricane	causes	harm living thing
produce electricity	instrument	burn coal
matter form	structural-agent	matter
consumer	has property	first-level
size	has property	higher
egg hatch	structural-agent	egg
predator	has negative impact on	prey
hen	has property	adult
be available long	structural-verb	be available
panama	at location	northern hemisphere
skin	has property	smooth
planet pull	instrument	gravity
water vapour	at location	atmosphere
property	has property	physical
timber company	structural-noun-compound	timber
georgia	structural-noun-compound	georgia
tide cycle	structural-noun-compound	tide
independent variable	structural-adjective	independent
object	has property	strong
living thing	structural-noun	thing
new jersey	structural-noun-compound	new
tree reproduce	structural-verb	reproduce
middlesex	at location	england
dessert	has subcomponent	few nutrient
repair cell	structural-verb	repair
become hot	structural-adjective	hot
live	derivational morphology	life
bouvet island (norway)	structural-noun-compound	norway
refract	derivational morphology	refraction
destroy pathogen	structural-patient	pathogen
same sunlight	structural-adjective	same
get warm	structural-verb	get
egg survive	instrument	warmth
lungs	derivational morphology	lungs
make	result	effect
hill	has property	rounded
rock cycle	has subcomponent	coal
lens	has subcomponent	glass
sediment deposit	result	delta
many required item	has positive impact on	resource consumer
daylight amount	structural-noun-compound	amount
recycle	derivational morphology	recyclable
cocos (keeling) islands (australia)	structural-noun-compound	islands
fish	at location	water
earth change	structural-agent	earth
denbighshire	at location	wales
national park	has positive impact on	ecosystem
central nervous system	has subcomponent	spinal cord
eat	patient	acorn
solar year	structural-noun-compound	year
eat	patient	seed
greatest length	structural-noun	length
substance	has property	boiling point
continental shelf	structural-adjective	continental
rock fold	result	appalachians
extensive properties	structural-noun	properties
lightbulb	causes	light
low visibility	structural-noun	visibility
chemical change	structural-noun	change
take in oxygen	structural-patient	oxygen
phase change	result	same mass
blow	agent	wind
prevent injury	structural-patient	injury
warm climate	structural-adjective	warm
food	at location	environment
getting	derivational morphology	get
low air pressure	causes	rain
runoff	has subcomponent	pollutant
valid conclusion	structural-noun	conclusion
sunset	has property	late
increase temperature	structural-patient	temperature
baking soda react	structural-agent	baking soda
eat poison	structural-verb	eat
garden	at location	outside
cut	patient	material
argyllshire	at location	scotland
measure weight	structural-verb	measure
bad tool	structural-adjective	bad
year	has property	every
stay warm	structural-verb	stay
read	patient	measurement
year	has subcomponent	equinox
surface feature	structural-noun-compound	surface
building	has subcomponent	thermostat
good road	has subcomponent	smooth surface
learn	at location	school
minnesota	structural-noun-compound	minnesota
sit	result	heat
scientific evidence	structural-noun-compound	evidence
increase	similar to	extend
above value	structural-adjective	above
same latitude	structural-noun	latitude
replace natural resource	structural-verb	replace
useful object	structural-noun	object
leaf tilt	goal	sunlight
southern winter	structural-noun	winter
create simple circuit	structural-verb	create
sharpen	result	change shape
seed sprout	at location	soil
different time	has subcomponent	different season
live	instrument	energy
diverse food	structural-adjective	diverse
remote-control toy	structural-noun	toy
smallest length	structural-adjective	smallest
be available	patient	long
material	has subcomponent	property
invent	patient	refrigerator
contents color	structural-noun-compound	contents
nuclear energy	structural-noun-compound	energy
dry	result	less liquid
transmit	agent	vehicle
avoid fossil fuel	structural-patient	fossil fuel
ride vehicle	structural-verb	ride
hibernate	has positive impact on	energy
grow	derivational morphology	growing
carbon	causes	greenhouse effect
mouse give birth	structural-agent	mouse
prevent illness	structural-patient	illness
drive vehicle	structural-verb	drive
car passenger	structural-noun-compound	car
chemical energy	structural-noun	energy
electricity	at location	electrical conductor
mass	causes	weight
get cold	structural-verb	get
plant become oil	at location	sea bottom
road surface	structural-noun-compound	surface
southern hemisphere	structural-noun	hemisphere
emit light	structural-verb	emit
point north	structural-patient	north
living thing	structural-adjective	living
pure substance	structural-noun	substance
move	agent	wind
weather report	structural-noun-compound	weather
field	has property	open
send electricity	structural-verb	send
continental shelf	structural-noun	shelf
gaseous matter	structural-noun	matter
cool body	instrument	sweat
day	has property	every
high strength	structural-noun	strength
tadpole	at location	water
collapse	agent	building
exchange	agent	gas
hawaii	structural-noun-compound	hawaii
solar system	structural-noun-compound	system
transport sand	structural-verb	transport
hemisphere	has property	eastern
control	patient	body
trashcan	has subcomponent	trash
thickness	derivational morphology	thick
fire	at location	surface
cause	result	increase
revolve	at location	sun
decrease animal population	structural-verb	decrease
multi-cell organism	structural-noun-compound	multi-cell
avoid predator	result	protect
metamorphose	result	metamorphic rock
catching	derivational morphology	catch
ferrous metal	structural-adjective	ferrous
clay	has property	nonmagnetic
skeletal system	has subcomponent	bone
show datum	structural-verb	show
skin	has property	color
use crop	structural-verb	use
sint eustatius (netherlands)	structural-noun-compound	sint
mouse birth	result	live young
swimming	derivational morphology	swim
wallis and futuna (france)	structural-noun-compound	wallis
