subj	rel	obj
ear	has property	long
light bulb produce light	structural-verb	produce
flashlight	causes	light
blue object	structural-noun	object
plant survive	structural-agent	plant
remove forest	causes	remove animal habitat
white blood cell	structural-noun-compound	white
different object	structural-noun	object
same food source	structural-adjective	same
protect cell	structural-verb	protect
galileo galilei	structural-noun-compound	galileo
observe moon	structural-verb	observe
surface	has property	lunar
earthquake	causes	building collapse
vehicle operate	structural-verb	operate
utah	at location	united states of america
quarts	synonym	qt
tamaulipas	instance of	state
block light	structural-verb	block
maintain number	structural-patient	number
georgia (country)	structural-noun-compound	georgia
arctic animal	structural-adjective	arctic
sediment cement	structural-verb	cement
save gasoline	structural-patient	gasoline
wood	kind of	natural material
new brunswick	structural-noun-compound	new
northern winter solstice	structural-adjective	northern
paper	has property	nonmagnetic
better	synonym	good
uv light	kind of	light
fur	has property	thick
use resource	structural-verb	use
pour	kind of	activity
tianjin municipality	synonym	tianjin
magnet	has property	magnetic
bark	kind of	sound
destroy forest	structural-verb	destroy
dorset	structural-noun-compound	dorset
pail	kind of	container
southern summer	has subcomponent	december
swamp	has subcomponent	soil
nature	has subcomponent	atmosphere
ivy plant	structural-noun-compound	plant
lake	has property	deep
heat	causes	expand
cloud	has subcomponent	water vapor
linlithgowshire	instance of	county
light travel	structural-verb	travel
burn gasoline	structural-patient	gasoline
light bulb filaments	derivational morphology	light bulb filament
animal habitat	structural-noun-compound	animal
lose skin	structural-patient	skin
territory of new caledonia and dependencies (france)	structural-noun-compound	new
cool	synonym	cold
jalisco	instance of	state
violet	kind of	color
floodplain	kind of	landform
substance	has property	not dense
colorless	synonym	no color
weed use	structural-agent	weed
stout beardfish	structural-noun-compound	stout
create	synonym	make
burn	kind of	action
refrigerator	has subcomponent	harmful chemical
ferrous metals	structural-noun	metals
hong kong special administrative region	instance of	special administrative region
ecosystem	has subcomponent	nonliving thing
weather	has property	bad
skunk	kind of	animal
population	has subcomponent	organism
fluid ounce	synonym	fl oz
poison	derivational morphology	poison
datum	synonym	information
seed	kind of	inherited characteristic
arctic	has property	white
caterpillar	synonym	young butterfly
six leg	structural-noun	leg
baby	has property	young
bone	kind of	fossil
body	has property	warm
white tile	kind of	streak plate
guess	has property	scientific
break down food	structural-verb	break down
many oxygen	structural-quantifier	many
vibration	derivational morphology	vibrate
maryland	instance of	state
skid	causes	friction
chicken	has property	chicken weight
pure substance	has subcomponent	melting point
condense	similar to	collect
chemical energy	structural-adjective	chemical
greater height	structural-noun	height
point	has property	freezing
cows	derivational morphology	cow
weather	kind of	break down
curly hair	structural-adjective	curly
burma	at location	northern hemisphere
animal	has property	thin
hong kong	instance of	special administrative region
south korea	structural-noun-compound	south
liquid matter	structural-adjective	liquid
measuring cup	kind of	tool
pull	kind of	force
use switch	structural-verb	use
celestial object	structural-noun	object
wise	synonym	good
alabama	instance of	state
ninth planet	structural-noun	planet
half	instance of	amount
attract pollinator	structural-patient	pollinator
object	has property	weight
rock pile	structural-noun-compound	rock
arctic environment	structural-noun	environment
lose fur	structural-patient	fur
young	synonym	immature
sonora	structural-noun-compound	sonora
guinea	at location	southern hemisphere
ice cream	structural-noun-compound	ice
melting point	structural-noun-compound	point
touch	synonym	contact
many oxygen	structural-noun	oxygen
color	kind of	visual property
puebla	at location	mexico
oaxaca	at location	mexico
car engine	structural-noun-compound	engine
constellation	has subcomponent	star
tide cycle	has subcomponent	low tide
create picture	structural-patient	picture
animal move	structural-verb	move
district of columbia	structural-noun-compound	district
rocket	kind of	mechanical system
swaziland	at location	southern hemisphere
weed use	structural-verb	use
cellular respiration	structural-noun-compound	cellular
red	kind of	color
east timor	structural-noun-compound	timor
volcanic eruption	kind of	quick process
piece	kind of	object
altitude	has property	great
not change	antonym	change
generate heat	structural-verb	generate
norfolk island (australia)	structural-noun-compound	norfolk
trinidad and tobago	at location	northern hemisphere
scavenger eat dead organism	structural-patient	dead organism
saint barthélemy (france)	structural-noun-compound	france
burkina faso	at location	southern hemisphere
contents color	structural-noun-compound	content
quarter	has property	first
occurrence	has property	natural
soil erode	structural-verb	erode
nail	has property	magnetic
become cold	structural-verb	become
use resource	has negative impact on	availability
simple carbohydrate	structural-adjective	simple
density	has property	intensive
force	has property	destructive
time	has property	different
carbonic acid dissolve limestone	structural-verb	dissolve
wider	synonym	greater width
time length	synonym	time period
catch	derivational morphology	catching
electric toothbrush	structural-adjective	electric
horse weight	structural-noun-compound	horse
change ecosystem	structural-verb	change
raccoon eat trash	has negative impact on	trash
little	synonym	small
taste sweet	structural-verb	taste
read	kind of	literacy
creating	kind of	activity
boston	kind of	city
water animal	has subcomponent	seashell
moisture	synonym	liquid water
degrees kelvin	kind of	temperature
material	has subcomponent	particle
depth	has property	greatest
unhealthy	antonym	healthy
fossil fuel	has property	nonrenewable
many year	structural-noun	year
electric current flow	structural-agent	electric current
muscle cells	structural-noun	muscle
little food	structural-noun	food
little liquid	structural-noun	liquid
full moon	structural-noun	moon
fire	causes	smoke
battery convert	structural-agent	battery
burn coal	structural-verb	burn
animal eat seed	structural-patient	seed
increase important object	structural-patient	important object
north dakota	structural-noun-compound	north
baking	derivational morphology	bake
flexible container expand	structural-verb	expand
insect	kind of	prey
tinted lens reflect	structural-verb	reflect
distance	has property	short
yunnan	at location	people's republic of china
runoff	has subcomponent	chemical
lab equipment	structural-noun-compound	lab
physical feature	structural-noun	feature
impact	has property	negative
turtles	derivational morphology	turtle
recessive gene	structural-noun	gene
warm	instance of	heat energy
body system	structural-noun	system
foot	has property	webbed
move around	structural-verb	move
animal	has subcomponent	fur
day	has subcomponent	earth rotate
liquid water	structural-noun	water
shaanxi	instance of	province
cure	synonym	solution
deep river	structural-noun	river
meter stick	kind of	tool
visible light	structural-adjective	visible
string	has subcomponent	length
glamorgan	at location	wales
montserrat (uk)	structural-noun-compound	uk
grass snake	structural-noun-compound	grass
absorb sunlight	structural-patient	sunlight
slow environmental change	structural-adjective	slow
many crater	structural-noun	crater
material	has property	nonmagnetic
capture animal	structural-verb	capture
shiny surface	structural-noun	surface
electrical current	structural-noun-compound	electrical
sound reflect	synonym	echo
matter	has subcomponent	atom
vanuatu	at location	southern hemisphere
saint barthélemy (france)	structural-noun-compound	barthélemy
nerve cells	structural-noun	nerve
insulator	has property	electrical
sunny day	has subcomponent	many sunlight
earth's axis	structural-noun-compound	earth's
floating arrow point	structural-agent	floating arrow
very small	structural-quantifier	very
internal organ	structural-noun-compound	internal
health	has property	poor
day	has property	cloudy
tuna	kind of	fish
trout	has subcomponent	gill
prey population	structural-noun-compound	population
measure earthquake strength	structural-verb	measure
eliminate waste	structural-patient	waste
sun set	structural-agent	sun
few organism	structural-quantifier	few
avoid	kind of	defend
xinjiang	synonym	xinjiang autonomous region
cow eat plant	has negative impact on	plant
hong kong special administrative region	structural-noun-compound	hong
cloud	has property	grey
oaxaca	instance of	state
scales	derivational morphology	scale
ocean heat	causes	hurricane
least length	structural-noun	length
sunset	structural-noun-compound	set
oil mixed with water	structural-noun-compound	oil
gravity	causes	landslide
push bike pedal	structural-patient	bike pedal
rest	kind of	activity
eat insect	structural-patient	insect
salt water	structural-noun-compound	water
flip switch	structural-verb	flip
cause	has property	natural
decomposing algae	structural-noun	algae
sharp object	structural-adjective	sharp
pound	kind of	unit
lose hair	structural-verb	lose
blending in	structural-adjective	in
location	has property	distant
constructive force	structural-noun	force
transmittance	at location	surface
strum string	structural-verb	strum
geologic structure	structural-adjective	geologic
rainy weather	structural-noun	weather
light brown	structural-adjective	light
ice cream	structural-noun-compound	cream
kill plant	structural-verb	kill
organism	kind of	living entity
lunar cycle	structural-noun-compound	lunar
sand	has subcomponent	small particle
yeast cell	structural-noun-compound	yeast
earth	has subcomponent	mantle
uganda	at location	equator
heard island and mcdonald islands (australia)	at location	southern hemisphere
attract mate	structural-verb	attract
morocco	at location	southern hemisphere
insect eat crop	structural-agent	insect
lose	synonym	have less of
night sky star	structural-noun-compound	star
play musical instrument	structural-verb	play
form solid	structural-patient	solid
process	has subcomponent	part
guerrero	structural-noun-compound	guerrero
hurricane	has property	strong
cotton waste	structural-noun-compound	waste
offshore oil platform	structural-noun	oil platform
water animal	kind of	animal
visual thing	structural-noun-compound	thing
surrey	structural-noun-compound	surrey
less object	structural-noun	object
many year	has subcomponent	weathering
hold animal	structural-patient	animal
midlothian	structural-noun-compound	midlothian
absorb carbon dioxide	structural-verb	absorb
potential energy	structural-adjective	potential
co2	synonym	carbon dioxide
internal organs	structural-noun	organs
farm plant	structural-patient	plant
cambodia	at location	northern hemisphere
thunder	kind of	sound
grow	has positive impact on	size
warmth	derivational morphology	warm
no color	antonym	color
bear eat berry	has positive impact on	bear
magnet	has subcomponent	north pole
transfer	kind of	move
destroy living thing	structural-verb	destroy
bird	has property	baby
affect organism	structural-patient	organism
beijing	at location	people's republic of china
can float	structural-verb	can
heavy	synonym	many weight
liquid carry	synonym	liquid push
soil	has property	renewable
measure earthquake strength	structural-patient	earthquake strength
many something	structural-quantifier	many
baby cat	structural-adjective	baby
millimeters	kind of	length
haddingtonshire	at location	scotland
rock	has property	large
dominant gene	structural-noun	gene
mining	derivational morphology	mine
deep	antonym	shallow
weathering	causes	sedimentary rock
butterfly lifespan	synonym	1 month
calculator	kind of	tool
sichuan	structural-noun-compound	sichuan
lab equipment	structural-noun-compound	equipment
insulator	has property	insulated
xinjiang	instance of	autonomous region
kansas	structural-noun-compound	kansas
above number	structural-noun	number
recycle resource	structural-verb	recycle
adjust temperature	structural-patient	temperature
equatorial regional guinea	structural-noun-compound	guinea
speak	kind of	communication
rocky terrain	structural-adjective	rocky
pesticide	has negative impact on	insect
multicellular organism	structural-noun	organism
ocean shell	structural-noun-compound	shell
monkey give birth	structural-agent	monkey
greatest	synonym	largest
piano key	structural-noun-compound	key
bedfordshire	structural-noun-compound	bedfordshire
bacteria	causes	illness
object	has property	length
leaf	has property	small
low quality soil	structural-adjective	quality
water vapor	structural-noun-compound	water
selkirkshire	instance of	county
measure length	structural-patient	length
bodily process	structural-adjective	bodily
form group	structural-verb	form
daylight hour	has subcomponent	daylight
infertile soil	has subcomponent	low quality
diamond	kind of	mineral
nunavut	structural-noun-compound	nunavut
continental shelf	has property	shallow
human eat crop	has positive impact on	human
inclined	synonym	sloping
function	synonym	use
each	similar to	individual
flower become	structural-verb	become
condense	derivational morphology	condensing
plant	kind of	living thing
orkney	instance of	county
gourd	kind of	fruit
push	kind of	force
michoacán	at location	mexico
include	synonym	contain
water fall	synonym	precipitation
live	synonym	be alive
rock	synonym	stone
gaseous matter	structural-adjective	gaseous
pewter	has property	nonmagnetic
control animal	structural-patient	animal
bone cells	structural-noun	cells
largest	synonym	greatest size
united states	structural-noun-compound	state
flower petal	structural-noun-compound	petal
contain	kind of	store
enhanced sense	structural-adjective	enhanced
compare density	structural-patient	density
water lily	structural-noun-compound	lily
cups	kind of	volume
pollinator	has positive impact on	reproduce
waxing crescent	kind of	moon phase
oven	causes	heat
greenland (denmark)	at location	northern hemisphere
temperature	has property	intensive
complete rotation	structural-verb	complete
electromagnet	has subcomponent	wire
shape	has property	narrow
curiosity	derivational morphology	curious
many energy	structural-noun	energy
protect hand	structural-patient	hand
magnetic force	structural-noun-compound	force
saba (netherlands)	structural-noun-compound	saba
rock crack	structural-noun-compound	rock
body store	structural-agent	body
share information	structural-verb	share
come together	structural-verb	come
british indian ocean territory (united kingdom)	structural-noun-compound	kingdom
river	kind of	water channel
shed fur	structural-verb	shed
adult female insect	structural-adjective	female
wind	synonym	moving air
nairnshire	at location	scotland
polluting gas	structural-noun	gas
moon phase	structural-noun-compound	phase
food preference	kind of	preference
stay	antonym	change
low vibration	structural-adjective	low
rain storm	structural-noun-compound	rain
water	has property	quality
object cool	structural-verb	cool
water boiling point	synonym	373k
technology	similar to	tool
material	has property	magnetism
carbohydrate	has subcomponent	sugars
deep valley	structural-noun	valley
high speed	structural-noun-compound	speed
food	has positive impact on	hatch
high tide	structural-noun-compound	high
smooth skin	structural-adjective	smooth
high quality soil	structural-noun	soil
lift flag	structural-verb	lift
pembrokeshire	at location	wales
ningxia	synonym	ningxia autonomous region
cold	synonym	low temperature
marble	kind of	object
high vibration	structural-noun	vibration
coast	kind of	environment
coral sea islands (australia)	structural-noun-compound	coral
sleet	has subcomponent	ice
plant cells	structural-noun	cells
large size	structural-noun	size
celestial body move	structural-agent	celestial body
redwood tree	structural-noun-compound	tree
human	kind of	car passenger
cell	has subcomponent	cell membrane
little sunlight	structural-quantifier	little
change direction	structural-patient	direction
osprey	kind of	bird
know property	structural-verb	know
thermal insulator	has negative impact on	heat
measure wind speed	structural-patient	wind speed
provide sunlight	structural-patient	sunlight
kangaroo drink milk	at location	kangaroo pouch
meadow vole eat insect	structural-agent	meadow vole
colorado	structural-noun-compound	colorado
hit	kind of	touch
bury seed	structural-patient	seed
bone	has property	hollow
carnivore eat animal	structural-patient	animal
french guiana (france)	structural-noun-compound	france
activity	has property	physical
keep cool	antonym	increase temperature
living thing grow	structural-agent	living thing
move product	structural-patient	product
object	has property	heat energy
circuit	has subcomponent	electricity
light	has property	close
borax	has property	magnetic
attract	kind of	activity
object	has property	black
malleable	instance of	hardness
renewable resource	synonym	natural resource
enemy	synonym	threat
bark	has property	brown
perform task	structural-patient	task
burn living thing	structural-patient	living thing
complex machine	structural-adjective	complex
michoacán	instance of	state
object	has property	warm
build tool	structural-verb	build
very small	structural-adjective	small
greatest	synonym	most
hurricane	causes	harm living thing
matter form	structural-agent	matter
consumer	has property	first-level
size	has property	higher
egg hatch	structural-agent	egg
predator	has negative impact on	prey
kilograms	synonym	kg
hen	has property	adult
be available long	structural-verb	be available
panama	at location	northern hemisphere
skin	has property	smooth
water vapour	at location	atmosphere
matter form	kind of	process
property	has property	physical
timber company	structural-noun-compound	timber
georgia	structural-noun-compound	georgia
tide cycle	structural-noun-compound	tide
independent variable	structural-adjective	independent
camper	kind of	human
object	has property	strong
living thing	structural-noun	thing
ocean shell	synonym	seashell
new jersey	structural-noun-compound	new
tree reproduce	structural-verb	reproduce
ripping	derivational morphology	rip
middlesex	at location	england
dessert	has subcomponent	few nutrient
repair cell	structural-verb	repair
become hot	structural-adjective	hot
hail	kind of	precipitation
dunbartonshire	synonym	dumbartonshire
live	derivational morphology	life
bouvet island (norway)	structural-noun-compound	norway
refract	derivational morphology	refraction
destroy pathogen	structural-patient	pathogen
same sunlight	structural-adjective	same
get warm	structural-verb	get
rely on	synonym	require
lungs	derivational morphology	lungs
hill	has property	rounded
rock cycle	has subcomponent	coal
lens	has subcomponent	glass
many required item	has positive impact on	resource consumer
daylight amount	structural-noun-compound	amount
recycle	derivational morphology	recyclable
cocos (keeling) islands (australia)	structural-noun-compound	islands
fish	at location	water
earth change	structural-agent	earth
denbighshire	at location	wales
national park	has positive impact on	ecosystem
central nervous system	has subcomponent	spinal cord
solar year	structural-noun-compound	year
greatest length	structural-noun	length
rabbit	kind of	herbivore
substance	has property	boiling point
continental shelf	structural-adjective	continental
extensive properties	structural-noun	properties
lightbulb	causes	light
black	kind of	color
down	kind of	small feather
low visibility	structural-noun	visibility
purple	kind of	color
chemical change	structural-noun	change
take in oxygen	structural-patient	oxygen
prevent injury	structural-patient	injury
help	synonym	aid
warm climate	structural-adjective	warm
tiny	instance of	size
food	at location	environment
getting	derivational morphology	get
low air pressure	causes	rain
runoff	has subcomponent	pollutant
valid conclusion	structural-noun	conclusion
sunset	has property	late
increase temperature	structural-patient	temperature
baking soda react	structural-agent	baking soda
eat poison	structural-verb	eat
behavior	kind of	characteristic
air	kind of	matter
garden	at location	outside
argyllshire	at location	scotland
measure weight	structural-verb	measure
bad tool	structural-adjective	bad
year	has property	every
stay warm	structural-verb	stay
year	has subcomponent	equinox
surface feature	structural-noun-compound	surface
building	has subcomponent	thermostat
turn on	kind of	process
days	kind of	time
good road	has subcomponent	smooth surface
learn	at location	school
minnesota	structural-noun-compound	minnesota
scientific evidence	structural-noun-compound	evidence
mouse	kind of	mammal
increase	similar to	extend
above value	structural-adjective	above
same latitude	structural-noun	latitude
replace natural resource	structural-verb	replace
useful object	structural-noun	object
southern winter	structural-noun	winter
create simple circuit	structural-verb	create
produce	kind of	function
seed sprout	at location	soil
different time	has subcomponent	different season
diverse food	structural-adjective	diverse
remote-control toy	structural-noun	toy
smallest length	structural-adjective	smallest
material	has subcomponent	property
contents color	structural-noun-compound	contents
nuclear energy	structural-noun-compound	energy
condition	kind of	acquired characteristic
space	kind of	resource
near	synonym	close
byproduct	kind of	waste
avoid fossil fuel	structural-patient	fossil fuel
ride vehicle	structural-verb	ride
hibernate	has positive impact on	energy
grow	derivational morphology	growing
vehicle	kind of	object
carbon	causes	greenhouse effect
mouse give birth	structural-agent	mouse
prevent illness	structural-patient	illness
drive vehicle	structural-verb	drive
car passenger	structural-noun-compound	car
chemical energy	structural-noun	energy
electricity	at location	electrical conductor
mass	causes	weight
get cold	structural-verb	get
plant become oil	at location	sea bottom
road surface	structural-noun-compound	surface
prevailing westerlies	kind of	wind
southern hemisphere	structural-noun	hemisphere
emit light	structural-verb	emit
point north	structural-patient	north
living thing	structural-adjective	living
pure substance	structural-noun	substance
weather report	structural-noun-compound	weather
field	has property	open
send electricity	structural-verb	send
continental shelf	structural-noun	shelf
gaseous matter	structural-noun	matter
day	has property	every
high strength	structural-noun	strength
tadpole	at location	water
amoeba	kind of	single-celled organism
