subj	rel	obj	id	flag
thermal gloves|jn	structural-noun	gloves|n		5
thing|n	has property	living|j		0
time interval|ns	structural-noun	interval|n		5
time interval|ns	structural-noun	time|n		5
tinted lenses|jn	structural-adjective	tinted|j		5
tinted lenses|jn	structural-noun	lenses|n		5
weathered rocks|jn	structural-noun	rocks|n		5
webbed feet|jn	structural-adjective	webbed|j		5
webbed feet|jn	structural-noun	feet|n		5
what number|ns	structural-noun-compound	number|n		5
laboratory apron|ns	structural-noun-compound	apron|n	0025-3e37-acf0-467a	0
laboratory apron|ns	structural-noun-compound	laboratory|n	0025-3e37-acf0-467a	0
laboratory coat|ns	structural-noun-compound	coat|n	0025-3e37-acf0-467a	0
laboratory coat|ns	structural-noun-compound	laboratory|n	0025-3e37-acf0-467a	0
safety gear|ns	structural-noun-compound	gear|n	0025-3e37-acf0-467a	0
safety gear|ns	structural-noun-compound	safety|n	0025-3e37-acf0-467a	0
decrease|v	agent	energy level|ns	0025-a087-5991-7f66	2
energy level decrease|av	structural-agent	energy level|ns	0025-a087-5991-7f66	2
energy level decrease|av	structural-verb	decrease|v	0025-a087-5991-7f66	2
energy level|ns	structural-noun-compound	energy|n	0025-a087-5991-7f66	0
energy level|ns	structural-noun-compound	level|n	0025-a087-5991-7f66	0
extreme temperature|jn	structural-adjective	extreme|j	0025-a087-5991-7f66	0
extreme temperature|jn	structural-noun	temperature|n	0025-a087-5991-7f66	0
temperature|n	has property	extreme|j	0025-a087-5991-7f66	0
depiction|n	has property	visual|j	004b-3c8c-0f5d-2873	0
visual depiction|jn	structural-adjective	visual|j	004b-3c8c-0f5d-2873	0
visual depiction|jn	structural-noun	depiction|n	004b-3c8c-0f5d-2873	0
amount|n	has property	least|j	0079-9b02-51a6-b9f2	0
least amount|jn	structural-adjective	least|j	0079-9b02-51a6-b9f2	0
least amount|jn	structural-noun	amount|n	0079-9b02-51a6-b9f2	0
least number|jn	structural-adjective	least|j	0079-9b02-51a6-b9f2	0
least number|jn	structural-noun	number|n	0079-9b02-51a6-b9f2	0
least value|jn	structural-adjective	least|j	0079-9b02-51a6-b9f2	0
least value|jn	structural-noun	value|n	0079-9b02-51a6-b9f2	0
number|n	has property	least|j	0079-9b02-51a6-b9f2	0
value|n	has property	least|j	0079-9b02-51a6-b9f2	0
United States of America|ns	structural-noun-compound	America|n	0085-8387-e36a-9955	0
United States of America|ns	structural-noun-compound	State|n	0085-8387-e36a-9955	0
United States of America|ns	structural-noun-compound	United|n	0085-8387-e36a-9955	0
United States of America|ns	structural-noun-compound	of|n	0085-8387-e36a-9955	0
device|n	has property	electrical|j	00a4-b16a-aa4d-893d	0
electrical device|jn	structural-adjective	electrical|j	00a4-b16a-aa4d-893d	0
electrical device|jn	structural-noun	device|n	00a4-b16a-aa4d-893d	0
light bulb|ns	structural-noun-compound	bulb|n	00a4-b16a-aa4d-893d	0
light bulb|ns	structural-noun-compound	light|n	00a4-b16a-aa4d-893d	0
apple tree|ns	structural-noun-compound	apple|n	00a7-56fc-3c22-e6f2	0
apple tree|ns	structural-noun-compound	tree|n	00a7-56fc-3c22-e6f2	0
iron melting point|ns	structural-noun-compound	iron|n	00f1-21aa-fbc1-fe69	0
iron melting point|ns	structural-noun-compound	melting|n	00f1-21aa-fbc1-fe69	0
iron melting point|ns	structural-noun-compound	point|n	00f1-21aa-fbc1-fe69	0
digestive system|ns	structural-noun-compound	digestive|n	00f8-d40c-40bb-d78a	0
digestive system|ns	structural-noun-compound	system|n	00f8-d40c-40bb-d78a	0
height|n	has property	short|j	0100-2f53-c324-81e2	0
short height|jn	structural-adjective	short|j	0100-2f53-c324-81e2	0
short height|jn	structural-noun	height|n	0100-2f53-c324-81e2	0
short width|jn	structural-adjective	short|j	0100-2f53-c324-81e2	0
short width|jn	structural-noun	width|n	0100-2f53-c324-81e2	0
width|n	has property	short|j	0100-2f53-c324-81e2	0
least number|jn	structural-adjective	least|j	0105-c0af-766a-ccab	0
least number|jn	structural-noun	number|n	0105-c0af-766a-ccab	0
lowest number|jn	structural-adjective	lowest|j	0105-c0af-766a-ccab	0
lowest number|jn	structural-noun	number|n	0105-c0af-766a-ccab	0
number|n	has property	least|j	0105-c0af-766a-ccab	0
number|n	has property	lowest|j	0105-c0af-766a-ccab	0
car move|av	structural-agent	car|n	010c-39f3-1b7a-7408	2
car move|av	structural-verb	move|v	010c-39f3-1b7a-7408	2
move|v	agent	car|n	010c-39f3-1b7a-7408	2
light ray|ns	structural-noun-compound	light|n	010f-22bb-c786-5a0e	0
light ray|ns	structural-noun-compound	ray|n	010f-22bb-c786-5a0e	0
reflect light ray|vp	structural-patient	light ray|ns	010f-22bb-c786-5a0e	2
reflect light ray|vp	structural-verb	reflect|v	010f-22bb-c786-5a0e	2
reflect|v	patient	light ray|ns	010f-22bb-c786-5a0e	2
United States of America|ns	structural-noun-compound	America|n	0143-892a-7798-69cf	0
United States of America|ns	structural-noun-compound	State|n	0143-892a-7798-69cf	0
United States of America|ns	structural-noun-compound	United|n	0143-892a-7798-69cf	0
United States of America|ns	structural-noun-compound	of|n	0143-892a-7798-69cf	0
sea turtle|ns	structural-noun-compound	sea|n	0149-ae3f-4139-1e0b	0
sea turtle|ns	structural-noun-compound	turtle|n	0149-ae3f-4139-1e0b	0
stormy weather|jn	structural-adjective	stormy|j	0157-8650-437a-4faa	0
stormy weather|jn	structural-noun	weather|n	0157-8650-437a-4faa	0
weather|n	has property	stormy|j	0157-8650-437a-4faa	0
create diamond|vp	structural-patient	diamond|n	016e-d9e2-b804-44d7	2
create diamond|vp	structural-verb	create|v	016e-d9e2-b804-44d7	2
create|v	patient	diamond|n	016e-d9e2-b804-44d7	2
heat carbon|vp	structural-patient	carbon|n	016e-d9e2-b804-44d7	2
heat carbon|vp	structural-verb	heat|v	016e-d9e2-b804-44d7	2
heat|v	patient	carbon|n	016e-d9e2-b804-44d7	2
pressure carbon|vp	structural-patient	carbon|n	016e-d9e2-b804-44d7	2
pressure carbon|vp	structural-verb	pressure|v	016e-d9e2-b804-44d7	2
pressure|v	patient	carbon|n	016e-d9e2-b804-44d7	2
baby chicken|jn	structural-adjective	baby|j	01a2-8e37-b59a-23e3	0
baby chicken|jn	structural-noun	chicken|n	01a2-8e37-b59a-23e3	0
chicken|n	has property	baby|j	01a2-8e37-b59a-23e3	0
chicken|n	has property	young|j	01a2-8e37-b59a-23e3	0
young chicken|jn	structural-adjective	young|j	01a2-8e37-b59a-23e3	0
young chicken|jn	structural-noun	chicken|n	01a2-8e37-b59a-23e3	0
carbon dioxide|ns	structural-noun-compound	carbon|n	01a8-2f77-9145-2ab3	0
carbon dioxide|ns	structural-noun-compound	dioxide|n	01a8-2f77-9145-2ab3	0
stainless steel|ns	structural-noun-compound	stainless|n	01b1-6b36-b6b8-5c97	0
stainless steel|ns	structural-noun-compound	steel|n	01b1-6b36-b6b8-5c97	0
always available|jn	structural-adjective	always|j	01bb-da65-ecdd-404c	0
always available|jn	structural-noun	available|n	01bb-da65-ecdd-404c	0
available|n	has property	always|j	01bb-da65-ecdd-404c	0
United States of America|ns	structural-noun-compound	America|n	01bd-b156-cb97-45fe	0
United States of America|ns	structural-noun-compound	State|n	01bd-b156-cb97-45fe	0
United States of America|ns	structural-noun-compound	United|n	01bd-b156-cb97-45fe	0
United States of America|ns	structural-noun-compound	of|n	01bd-b156-cb97-45fe	0
make discovery|vp	structural-patient	discovery|n	01ce-5c8d-152d-6464	2
make discovery|vp	structural-verb	make|v	01ce-5c8d-152d-6464	2
make|v	patient	discovery|n	01ce-5c8d-152d-6464	2
warm water|jn	structural-adjective	warm|j	01d7-f9ae-c6ee-8eee	0
warm water|jn	structural-noun	water|n	01d7-f9ae-c6ee-8eee	0
water|n	has property	warm|j	01d7-f9ae-c6ee-8eee	0
different soil|jn	structural-adjective	different|j	023a-cb3f-47ab-8682	0
different soil|jn	structural-noun	soil|n	023a-cb3f-47ab-8682	0
different texture|jn	structural-adjective	different|j	023a-cb3f-47ab-8682	0
different texture|jn	structural-noun	texture|n	023a-cb3f-47ab-8682	0
soil|n	has property	different|j	023a-cb3f-47ab-8682	0
texture|n	has property	different|j	023a-cb3f-47ab-8682	0
body system|ns	structural-noun-compound	body|n	023e-be5e-200d-d253	0
body system|ns	structural-noun-compound	system|n	023e-be5e-200d-d253	0
excretory system|jn	structural-adjective	excretory|j	023e-be5e-200d-d253	0
excretory system|jn	structural-noun	system|n	023e-be5e-200d-d253	0
system|n	has property	excretory|j	023e-be5e-200d-d253	0
electrical energy|jn	structural-adjective	electrical|j	0259-62d6-90d1-5285	0
electrical energy|jn	structural-noun	energy|n	0259-62d6-90d1-5285	0
energy|n	has property	electrical|j	0259-62d6-90d1-5285	0
light bulb|ns	structural-noun-compound	bulb|n	0259-62d6-90d1-5285	0
light bulb|ns	structural-noun-compound	light|n	0259-62d6-90d1-5285	0
crop rotation|ns	structural-noun-compound	crop|n	025a-3b8a-b5f2-f320	0
crop rotation|ns	structural-noun-compound	rotation|n	025a-3b8a-b5f2-f320	0
keep warm|vj	structural-adjective	warm|j	029c-4b0e-d2c0-2383	0
keep warm|vj	structural-verb	keep|v	029c-4b0e-d2c0-2383	0
keep|v	result	warm|j	029c-4b0e-d2c0-2383	0
protect plant|vp	structural-patient	plant|n	029c-4b0e-d2c0-2383	2
protect plant|vp	structural-verb	protect|v	029c-4b0e-d2c0-2383	2
protect|v	patient	plant|n	029c-4b0e-d2c0-2383	2
body part|ns	structural-noun-compound	body|n	02a9-6ebd-741c-ddf1	0
body part|ns	structural-noun-compound	part|n	02a9-6ebd-741c-ddf1	0
excrete urine|vp	structural-patient	urine|n	02bd-4712-66b2-5c24	2
excrete urine|vp	structural-verb	excrete|v	02bd-4712-66b2-5c24	2
excrete|v	patient	urine|n	02bd-4712-66b2-5c24	2
store urine|vp	structural-patient	urine|n	02bd-4712-66b2-5c24	2
store urine|vp	structural-verb	store|v	02bd-4712-66b2-5c24	2
store|v	patient	urine|n	02bd-4712-66b2-5c24	2
animal habitat|ns	structural-noun-compound	animal|n	02d9-ec74-0c49-8fcd	0
animal habitat|ns	structural-noun-compound	habitat|n	02d9-ec74-0c49-8fcd	0
build housing development|vp	structural-patient	housing development|ns	02d9-ec74-0c49-8fcd	2
build housing development|vp	structural-verb	build|v	02d9-ec74-0c49-8fcd	2
build|v	patient	housing development|ns	02d9-ec74-0c49-8fcd	2
destroy animal habitat|vp	structural-patient	animal habitat|ns	02d9-ec74-0c49-8fcd	2
destroy animal habitat|vp	structural-verb	destroy|v	02d9-ec74-0c49-8fcd	2
destroy|v	patient	animal habitat|ns	02d9-ec74-0c49-8fcd	2
housing development|ns	structural-noun-compound	development|n	02d9-ec74-0c49-8fcd	0
housing development|ns	structural-noun-compound	housing|n	02d9-ec74-0c49-8fcd	0
replace animal habitat|vp	structural-patient	animal habitat|ns	02d9-ec74-0c49-8fcd	2
replace animal habitat|vp	structural-verb	replace|v	02d9-ec74-0c49-8fcd	2
replace|v	patient	animal habitat|ns	02d9-ec74-0c49-8fcd	2
break down|v	agent	stomach acid|ns	0323-62a6-1a45-17a9	2
break down|v	patient	food|n	0323-62a6-1a45-17a9	2
stomach acid break down food|avp	structural-agent	stomach acid|ns	0323-62a6-1a45-17a9	2
stomach acid break down food|avp	structural-patient	food|n	0323-62a6-1a45-17a9	2
stomach acid break down food|avp	structural-verb	break down|v	0323-62a6-1a45-17a9	2
stomach acid|ns	structural-noun-compound	acid|n	0323-62a6-1a45-17a9	0
stomach acid|ns	structural-noun-compound	stomach|n	0323-62a6-1a45-17a9	0
burn natural gas|vp	structural-patient	natural gas|jn	0331-acb0-62fe-f352	2
burn natural gas|vp	structural-verb	burn|v	0331-acb0-62fe-f352	2
burn|v	patient	natural gas|jn	0331-acb0-62fe-f352	2
cook food|vp	structural-patient	food|n	0331-acb0-62fe-f352	2
cook food|vp	structural-verb	cook|v	0331-acb0-62fe-f352	2
cook|v	patient	food|n	0331-acb0-62fe-f352	2
natural gas|jn	structural-adjective	natural|j	0331-acb0-62fe-f352	0
natural gas|jn	structural-noun	gas|n	0331-acb0-62fe-f352	0
in common|ns	structural-noun-compound	common|n	0342-b4ed-ed5d-6fdf	0
in common|ns	structural-noun-compound	in|n	0342-b4ed-ed5d-6fdf	0
light travel|av	structural-agent	light|n	0350-5cfd-debd-dee8	2
light travel|av	structural-verb	travel|v	0350-5cfd-debd-dee8	2
travel|v	agent	light|n	0350-5cfd-debd-dee8	2
butterfly lifespan|ns	structural-noun-compound	butterfly|n	037d-b751-5b3d-b62d	0
butterfly lifespan|ns	structural-noun-compound	lifespan|n	037d-b751-5b3d-b62d	0
ninth planet|jn	structural-adjective	ninth|j	0390-aada-ce88-9040	0
ninth planet|jn	structural-noun	planet|n	0390-aada-ce88-9040	0
planet|n	has property	ninth|j	0390-aada-ce88-9040	0
dry environment|jn	structural-adjective	dry|j	03a5-9e41-f0e1-1cba	0
dry environment|jn	structural-noun	environment|n	03a5-9e41-f0e1-1cba	0
environment|n	has property	dry|j	03a5-9e41-f0e1-1cba	0
sandy soil|jn	structural-adjective	sandy|j	03a5-9e41-f0e1-1cba	0
sandy soil|jn	structural-noun	soil|n	03a5-9e41-f0e1-1cba	0
soil|n	has property	sandy|j	03a5-9e41-f0e1-1cba	0
water vapor|ns	structural-noun-compound	vapor|n	03c0-59bd-bf14-aaa0	0
water vapor|ns	structural-noun-compound	water|n	03c0-59bd-bf14-aaa0	0
temperature|n	has property	warm|j	03e0-14b7-ecf9-28e4	0
warm temperature|jn	structural-adjective	warm|j	03e0-14b7-ecf9-28e4	0
warm temperature|jn	structural-noun	temperature|n	03e0-14b7-ecf9-28e4	0
United States of America|ns	structural-noun-compound	America|n	0409-e9e6-43fb-ed4c	0
United States of America|ns	structural-noun-compound	State|n	0409-e9e6-43fb-ed4c	0
United States of America|ns	structural-noun-compound	United|n	0409-e9e6-43fb-ed4c	0
United States of America|ns	structural-noun-compound	of|n	0409-e9e6-43fb-ed4c	0
energy source|ns	structural-noun-compound	energy|n	044f-98c1-07d1-2e57	0
energy source|ns	structural-noun-compound	source|n	044f-98c1-07d1-2e57	0
animal|n	has property	water|j	0499-a475-56c4-8d43	0
water animal|ns	structural-noun	animal|n	0499-a475-56c4-8d43	0
water animal|ns	structural-noun-compound	water|n	0499-a475-56c4-8d43	0
thermal conductor|ns	structural-noun-compound	conductor|n	04a3-0791-9bd3-602d	0
thermal conductor|ns	structural-noun-compound	thermal|n	04a3-0791-9bd3-602d	0
increase temperature|vp	structural-patient	temperature|n	04fa-aa15-4ac9-8da4	2
increase temperature|vp	structural-verb	increase|v	04fa-aa15-4ac9-8da4	2
increase|v	patient	temperature|n	04fa-aa15-4ac9-8da4	2
eastern hemisphere|jn	structural-adjective	eastern|j	0527-8a98-eb69-f5e6	0
eastern hemisphere|jn	structural-noun	hemisphere|n	0527-8a98-eb69-f5e6	0
hemisphere|n	has property	eastern|j	0527-8a98-eb69-f5e6	0
change appearance|vp	structural-patient	appearance|n	052f-26fc-455b-c202	2
change appearance|vp	structural-verb	change|v	052f-26fc-455b-c202	2
change|v	patient	appearance|n	052f-26fc-455b-c202	2
water container|ns	structural-noun-compound	container|n	055f-62da-6f0f-9be5	0
water container|ns	structural-noun-compound	water|n	055f-62da-6f0f-9be5	0
animal|n	has property	water|j	0560-dd88-068a-fc05	0
water animal|ns	structural-noun	animal|n	0560-dd88-068a-fc05	0
water animal|ns	structural-noun-compound	water|n	0560-dd88-068a-fc05	0
device|n	has property	electric|j	0584-393a-7b86-9c70	0
electric device function|av	structural-agent	electric device|jn	0584-393a-7b86-9c70	2
electric device function|av	structural-verb	function|v	0584-393a-7b86-9c70	2
electric device|jn	structural-adjective	electric|j	0584-393a-7b86-9c70	0
electric device|jn	structural-noun	device|n	0584-393a-7b86-9c70	0
electrical energy|jn	structural-adjective	electrical|j	0584-393a-7b86-9c70	0
electrical energy|jn	structural-noun	energy|n	0584-393a-7b86-9c70	0
function|v	agent	electric device|jn	0584-393a-7b86-9c70	2
piece|n	has property	small|j	0610-89d4-acb3-b0dc	0
small piece|jn	structural-adjective	small|j	0610-89d4-acb3-b0dc	0
small piece|jn	structural-noun	piece|n	0610-89d4-acb3-b0dc	0
full moon|jn	structural-adjective	full|j	061d-1ec6-4a7a-9f63	0
full moon|jn	structural-noun	moon|n	061d-1ec6-4a7a-9f63	0
moon phase|ns	structural-noun-compound	moon|n	061d-1ec6-4a7a-9f63	0
moon phase|ns	structural-noun-compound	phase|n	061d-1ec6-4a7a-9f63	0
moon|n	has property	full|j	061d-1ec6-4a7a-9f63	0
discover shape|vp	structural-patient	shape|n	064c-653b-1ec4-4e84	2
discover shape|vp	structural-verb	discover|v	064c-653b-1ec4-4e84	2
discover|v	patient	shape|n	064c-653b-1ec4-4e84	2
People's Republic of China|ns	structural-noun-compound	China|n	065e-077f-3ca5-c39c	0
People's Republic of China|ns	structural-noun-compound	People'|n	065e-077f-3ca5-c39c	0
People's Republic of China|ns	structural-noun-compound	Republic|n	065e-077f-3ca5-c39c	0
People's Republic of China|ns	structural-noun-compound	of|n	065e-077f-3ca5-c39c	0
autonomous region|jn	structural-adjective	autonomous|j	065e-077f-3ca5-c39c	0
autonomous region|jn	structural-noun	region|n	065e-077f-3ca5-c39c	0
region|n	has property	autonomous|j	065e-077f-3ca5-c39c	0
grow large|vp	structural-patient	large|n	0672-8ba1-8bef-c7c2	2
grow large|vp	structural-verb	grow|v	0672-8ba1-8bef-c7c2	2
grow|v	patient	large|n	0672-8ba1-8bef-c7c2	2
increase|v	agent	size|n	0672-8ba1-8bef-c7c2	2
size increase|av	structural-agent	size|n	0672-8ba1-8bef-c7c2	2
size increase|av	structural-verb	increase|v	0672-8ba1-8bef-c7c2	2
muscular system|ns	structural-noun-compound	muscular|n	0685-babe-a257-9fbe	0
muscular system|ns	structural-noun-compound	system|n	0685-babe-a257-9fbe	0
moon phase|ns	structural-noun-compound	moon|n	06da-bc83-aab7-015f	0
moon phase|ns	structural-noun-compound	phase|n	06da-bc83-aab7-015f	0
produce electricity|vp	structural-patient	electricity|n	06de-ca22-f447-d929	2
produce electricity|vp	structural-verb	produce|v	06de-ca22-f447-d929	2
produce|v	patient	electricity|n	06de-ca22-f447-d929	2
water vapor|ns	structural-noun-compound	vapor|n	06e7-3920-6321-983c	0
water vapor|ns	structural-noun-compound	water|n	06e7-3920-6321-983c	0
land mass|ns	has property	large|j	070a-2fde-af8a-62a6	0
land mass|ns	structural-noun-compound	land|n	070a-2fde-af8a-62a6	0
land mass|ns	structural-noun-compound	mass|n	070a-2fde-af8a-62a6	0
large land mass|jn	structural-adjective	large|j	070a-2fde-af8a-62a6	0
large land mass|jn	structural-noun	land mass|ns	070a-2fde-af8a-62a6	0
create peate|vp	structural-patient	peate|n	071b-6b75-e037-a163	2
create peate|vp	structural-verb	create|v	071b-6b75-e037-a163	2
